"periodo_denuncia,anio_denuncia,fecha_descarga,distrito_fiscal,especialidad,tipo_caso,generico,subgenerico,articulo,des_articulo,cantidad,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,latitud,longitud"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,383,Cobro indebido (concusión),3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,394,Cohecho pasivo impropio (corrupción de funcionarios),1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR FUNCIONARIOS PUBLICOS,376-A,Abuso de autoridad condicionando ilegalmente la entrega de bienes y servicios,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,361,Usurpación de función pública,6,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,363,Ejercicio ilegal de profesión,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368,Resistencia o desobediencia a la autoridad,60,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368-A,""Ingreso indebido de equipos o sistema de comunicación, fotografía y/o filmación en centros de detención o reclusión"",7,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS COMETIDOS POR PARTICULARES,368-B,Ingreso indebido de materiales o componentes con fines de elaboración de equipos de comunicación en centros de detención o reclusión,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,402,Denuncia calumniosa,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,403,Ocultamiento de menor a las investigaciones,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,404,Encubrimiento personal,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,407,Omisión de denuncia,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,408,Fuga del lugar del accidente de tránsito,5,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,409-A,Obstrucción de la justicia,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,411,Falsa declaración en procedimiento administrativo,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,416,Fraude procesal,10,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,418,Prevaricato,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA ADMINISTRACION PUBLICA,DELITOS CONTRA LA ADMINISTRACION DE JUSTICIA,417,Ejercicio arbitrario de derecho. Justicia por propia mano,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA DIGNIDAD HUMANA,EXPLOTACION,129-O,Trabajo forzoso,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA DIGNIDAD HUMANA,EXPLOTACION,129-P,Delito de intermediación onerosa de órganos y tejidos,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FAMILIA,ATENTADOS CONTRA LA PATRIA POTESTAD,147,Sustracción de menor,23,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FAMILIA,ATENTADOS CONTRA LA PATRIA POTESTAD,148,Inducción a la fuga de menor,28,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FAMILIA,OMISION DE ASISTENCIA FAMILIAR,149,Omisión de prestación de alimentos,319,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
"ENERO - MARZO,2026,06/04/2026,AMAZONAS,PENAL,DENUNCIA,CONTRA LA FE PUBLICA,DISPOSICIONES COMUNES,438,Falsedad genérica (disposiciones comunes),4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,27/04/2026,-6.22944444444445,-77.8727777777777"
